column1,camis,violation_code,violation_description,action,score,inspection_type,grade,grade_date,inspection_date,critical_flag,record_date
11342,50015884,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,20,Cycle Inspection / Re-inspection,B,2018-09-19 00:00:00.0000000,2018-09-19 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11343,41606775,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Violations were cited in the following area(s).,54,Cycle Inspection / Initial Inspection,NULL,NULL,2018-10-31 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11344,50086635,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2021-08-09 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11345,41647764,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,7,Cycle Inspection / Initial Inspection,A,2019-04-10 00:00:00.0000000,2019-04-10 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11346,50008956,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2018-05-24 00:00:00.0000000,2018-05-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11347,40373937,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,47,Cycle Inspection / Initial Inspection,NULL,NULL,2022-01-12 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11348,41650923,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2019-05-15 00:00:00.0000000,2019-05-15 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11349,40386837,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,8,Cycle Inspection / Initial Inspection,A,2021-07-31 00:00:00.0000000,2021-07-31 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11350,41501088,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,9,Cycle Inspection / Re-inspection,A,2019-03-05 00:00:00.0000000,2019-03-05 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11351,50108289,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,7,Pre-permit (Operational) / Re-inspection,A,2021-08-11 00:00:00.0000000,2021-08-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11352,50037049,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,43,Cycle Inspection / Initial Inspection,NULL,NULL,2022-04-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11353,50040836,04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Violations were cited in the following area(s).,23,Cycle Inspection / Initial Inspection,NULL,NULL,2022-05-16 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11354,50039094,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,19,Cycle Inspection / Initial Inspection,NULL,NULL,2018-02-20 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11355,50072286,09B,Thawing procedures improper.,Violations were cited in the following area(s).,11,Cycle Inspection / Re-inspection,A,2019-04-23 00:00:00.0000000,2019-04-23 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11356,50092545,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2020-01-17 00:00:00.0000000,2020-01-17 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11357,50053069,06F,Wiping cloths soiled or not stored in sanitizing solution.,Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-10-23 00:00:00.0000000,2019-10-23 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11358,50053729,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,34,Cycle Inspection / Re-inspection,C,2022-06-14 00:00:00.0000000,2022-06-14 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11359,50006323,09B,Thawing procedures improper.,Violations were cited in the following area(s).,22,Cycle Inspection / Re-inspection,B,2019-05-16 00:00:00.0000000,2019-05-16 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11360,50091908,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,29,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2020-02-26 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11361,41460812,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,13,Cycle Inspection / Re-inspection,A,2019-11-27 00:00:00.0000000,2019-11-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11362,50085140,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,22,Cycle Inspection / Initial Inspection,NULL,NULL,2019-06-13 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11363,50076792,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Violations were cited in the following area(s).,23,Cycle Inspection / Re-inspection,B,2021-09-22 00:00:00.0000000,2021-09-22 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11364,50042800,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Violations were cited in the following area(s).,48,Cycle Inspection / Initial Inspection,NULL,NULL,2019-03-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11365,50065427,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2022-03-08 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11366,41642422,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,3,Cycle Inspection / Initial Inspection,A,2021-08-20 00:00:00.0000000,2021-08-20 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11367,50004337,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,30,Cycle Inspection / Initial Inspection,NULL,NULL,2019-11-21 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11368,41175262,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,8,Cycle Inspection / Initial Inspection,A,2019-02-27 00:00:00.0000000,2019-02-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11369,41403373,02B,Hot food item not held at or above 140º F.,Violations were cited in the following area(s).,15,Cycle Inspection / Initial Inspection,NULL,NULL,2019-04-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11370,41377172,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,44,Cycle Inspection / Initial Inspection,NULL,NULL,2021-11-09 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11371,50043848,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
12318,50002062,10H,Proper sanitization not provided for utensil ware washing operation.,Violations were cited in the following area(s).,8,Cycle Inspection / Re-inspection,A,2019-05-23 00:00:00.0000000,2019-05-23 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11372,40391695,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2019-03-15 00:00:00.0000000,2019-03-15 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11373,50083319,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,34,Cycle Inspection / Initial Inspection,NULL,NULL,2022-04-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11374,50033511,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-12-11 00:00:00.0000000,2019-12-11 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11375,41449421,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-09-24 00:00:00.0000000,2019-09-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11376,50002675,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-09-05 00:00:00.0000000,2019-09-05 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11377,41661199,22G,Sale or use of certain expanded polystyrene items restricted,Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-06-10 00:00:00.0000000,2019-06-10 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11378,41155817,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,4,Cycle Inspection / Re-inspection,A,2022-04-08 00:00:00.0000000,2022-04-08 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11379,50095750,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,19,Pre-permit (Operational) / Re-inspection,B,2019-09-24 00:00:00.0000000,2019-09-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11380,50058799,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,7,Cycle Inspection / Initial Inspection,A,2021-07-27 00:00:00.0000000,2021-07-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11381,50062450,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,44,Cycle Inspection / Initial Inspection,NULL,NULL,2018-05-17 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11382,50123932,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,12,Pre-permit (Operational) / Initial Inspection,A,2022-06-27 00:00:00.0000000,2022-06-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11383,41419643,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2021-11-01 00:00:00.0000000,2021-11-01 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11384,40589546,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,25,Cycle Inspection / Initial Inspection,NULL,NULL,2019-10-30 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11385,50085211,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,22,Cycle Inspection / Initial Inspection,NULL,NULL,2019-05-08 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11386,40398306,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,4,Cycle Inspection / Initial Inspection,A,2019-08-27 00:00:00.0000000,2019-08-27 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11387,50063198,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-10-24 00:00:00.0000000,2019-10-24 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11388,50006741,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Violations were cited in the following area(s).,33,Cycle Inspection / Initial Inspection,NULL,NULL,2022-07-05 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11389,50094087,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,62,Cycle Inspection / Initial Inspection,NULL,NULL,2022-06-02 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11390,50104824,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,5,Pre-permit (Operational) / Initial Inspection,A,2021-09-20 00:00:00.0000000,2021-09-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11391,50074096,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2022-06-23 00:00:00.0000000,2022-06-23 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11392,50082810,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Violations were cited in the following area(s).,59,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2019-10-04 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11393,40948362,04M,Live roaches present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,12,Cycle Inspection / Re-inspection,A,2019-06-20 00:00:00.0000000,2019-06-20 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11394,41314155,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,NULL,NULL,2018-06-14 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11395,41335396,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,20,Cycle Inspection / Re-inspection,B,2019-07-16 00:00:00.0000000,2019-07-16 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11397,50004563,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Violations were cited in the following area(s).,13,Cycle Inspection / Re-inspection,A,2020-01-08 00:00:00.0000000,2020-01-08 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11398,50059215,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Violations were cited in the following area(s).,24,Cycle Inspection / Initial Inspection,NULL,NULL,2019-12-09 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11399,50073724,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Violations were cited in the following area(s).,59,Cycle Inspection / Re-inspection,C,2019-05-28 00:00:00.0000000,2019-05-28 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11400,50035278,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Violations were cited in the following area(s).,40,Cycle Inspection / Initial Inspection,NULL,NULL,2022-05-17 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11401,40395055,09C,Food contact surface not properly maintained.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2017-09-19 00:00:00.0000000,2017-09-19 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11402,50083682,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Violations were cited in the following area(s).,5,Cycle Inspection / Re-inspection,A,2022-07-05 00:00:00.0000000,2022-07-05 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11403,41221266,02A,Food not cooked to required minimum temperature.,Violations were cited in the following area(s).,43,Cycle Inspection / Initial Inspection,NULL,NULL,2022-02-15 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11404,41399771,09C,Food contact surface not properly maintained.,Violations were cited in the following area(s).,11,Cycle Inspection / Initial Inspection,A,2019-04-30 00:00:00.0000000,2019-04-30 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11405,41071232,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Violations were cited in the following area(s).,10,Cycle Inspection / Initial Inspection,A,2017-02-11 00:00:00.0000000,2017-02-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11406,50104860,04M,Live roaches present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,28,Pre-permit (Operational) / Initial Inspection,NULL,NULL,2021-09-29 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11407,41624665,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Violations were cited in the following area(s).,7,Cycle Inspection / Initial Inspection,A,2021-08-30 00:00:00.0000000,2021-08-30 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11408,50120424,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,40,Pre-permit (Operational) / Initial Inspection,N,NULL,2022-08-25 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11409,41249394,09C,Food contact surface not properly maintained.,Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-02-20 00:00:00.0000000,2019-02-20 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11410,50092960,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,13,Pre-permit (Operational) / Initial Inspection,A,2019-07-05 00:00:00.0000000,2019-07-05 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11411,40926520,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2022-03-21 00:00:00.0000000,2022-03-21 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11412,41641934,04A,Food Protection Certificate not held by supervisor of food operations.,Violations were cited in the following area(s).,12,Cycle Inspection / Initial Inspection,A,2021-08-11 00:00:00.0000000,2021-08-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11413,40553581,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,31,Cycle Inspection / Initial Inspection,NULL,NULL,2021-08-04 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11414,50070957,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,11,Cycle Inspection / Re-inspection,A,2019-11-14 00:00:00.0000000,2019-11-14 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11415,50105632,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Violations were cited in the following area(s).,13,Pre-permit (Operational) / Initial Inspection,A,2021-09-28 00:00:00.0000000,2021-09-28 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11416,50047978,10J,Hand wash sign not posted,Violations were cited in the following area(s).,27,Cycle Inspection / Initial Inspection,NULL,NULL,2022-06-08 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11417,41541889,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,8,Cycle Inspection / Initial Inspection,A,2022-04-06 00:00:00.0000000,2022-04-06 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11418,41277596,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,9,Cycle Inspection / Initial Inspection,A,2019-05-24 00:00:00.0000000,2019-05-24 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
11419,50060083,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Violations were cited in the following area(s).,18,Cycle Inspection / Initial Inspection,NULL,NULL,2022-04-11 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11420,50051591,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Violations were cited in the following area(s).,16,Cycle Inspection / Initial Inspection,NULL,NULL,2017-07-14 00:00:00.0000000,Critical,2022-08-27 06:00:12.0000000
11421,50011049,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Violations were cited in the following area(s).,13,Cycle Inspection / Initial Inspection,A,2019-11-19 00:00:00.0000000,2019-11-19 00:00:00.0000000,Not Critical,2022-08-27 06:00:12.0000000
