column1,camis,dba,boro,building,street,zipcode,phone,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,cuisine_description
241335,40364362,21 CLUB,Manhattan,21,WEST   52 STREET,10019,2125827200,40.760406494140625,-73.97775268554688,105,04,10400,1034519,1012680023,MN17,American
226163,40364373,ISLE OF CAPRI RESTURANT,Manhattan,1028,3 AVENUE,10065,2127581902,40.7627067565918,-73.96575164794922,108,04,11402,1041931,1013950040,MN40,Italian
247454,40364389,OLD TOWN BAR & RESTAURANT,Manhattan,45,EAST   18 STREET,10003,2125296732,40.73759460449219,-73.9896469116211,105,02,5200,1016150,1008470034,MN13,American
247670,40364404,POLISH NATIONAL HOME,Brooklyn,261,DRIGGS AVENUE,11222,7183875252,40.72262191772461,-73.94830322265625,301,33,49900,3338042,3026980020,BK76,Polish
235199,40364439,SEVILLA RESTAURANT,Manhattan,62,CHARLES STREET,10014,2129293189,40.73490905761719,-74.00297546386719,102,03,7300,1010824,1006110009,MN23,Latin American
219545,40364443,CRIMINAL COURT BLDG CAFETERIA,Manhattan,100,CENTRE STREET,10013,2129621037,40.7160758972168,-74.00142669677734,101,01,2900,1079000,1001670001,MN27,American
213681,40364449,GOTTSCHEER HALL,Queens,657,FAIRVIEW AVENUE,11385,7183663030,40.70664978027344,-73.9057388305664,405,30,58900,4083396,4034850001,QN20,German
246390,40364467,NYAC MAIN DINING ROOM,Manhattan,180,CENTRAL PARK SOUTH,10019,2127677000,40.766719818115234,-73.9787368774414,105,04,13700,1023750,1010110001,MN17,American
155246,40364518,7B BAR,Manhattan,108,AVENUE B,10009,2126776742,40.72498321533203,-73.98128509521484,103,02,3200,1005094,1004020034,MN22,American
222442,40364572,DONOHUE'S STEAK HOUSE,Manhattan,845,LEXINGTON AVENUE,10065,2127440938,40.7655143737793,-73.96576690673828,108,04,12000,1042358,1013990022,MN40,Steakhouse
234727,40364581,JUNIOR'S,Brooklyn,386,FLATBUSH AVENUE EXTENSION,11201,7188525257,40.69020080566406,-73.98162078857422,302,33,1500,3000369,3001490060,BK38,American
244517,40364668,MARCHIS RESTAURANT,Manhattan,251,EAST   31 STREET,10016,2126792494,40.74333190917969,-73.97833251953125,106,02,7000,1081628,1009120026,MN20,Italian
246109,40364691,THE GEORGIAN SUITE KITCHEN,Manhattan,1A,EAST   77 STREET,10075,2127341468,40.775577545166016,-73.96443939208984,108,04,14200,1041816,1013920001,MN40,Continental
230230,40364715,OLD HOMESTEAD,Manhattan,56,9 AVENUE,10011,2122429040,40.741371154785156,-74.00503540039062,104,03,8300,1013042,1007380080,MN13,American
227136,40364744,NEW PARK PIZZERIA & RESTAURANT,Queens,156-71,CROSSBAY BOULEVARD,11414,7186413082,40.66310119628906,-73.84083557128906,410,32,88400,4294806,4141480033,QN57,Pizza
202188,40364858,DOUGLASTON CLUB,Queens,600,WEST DRIVE,11363,7182293900,40.776329040527344,-73.75283813476562,411,19,148300,4168135,4080310001,QN45,American
247922,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Bronx,2222,HAVILAND AVENUE,10462,7188229004,40.83060836791992,-73.84964752197266,209,18,9200,2026709,2038180011,BX59,American
154399,40365013,CRYSTAL ROOM,Staten Island,67,OLYMPIA BOULEVARD,10305,7184478926,40.59281539916992,-74.0706787109375,502,50,7000,5107511,5032810010,SI36,Italian
244022,40365075,MCSORLEY'S OLD ALE HOUSE,Manhattan,15,EAST    7 STREET,10003,2122542570,40.72858428955078,-73.98954010009766,103,02,3800,1006695,1004630050,MN22,Irish
80481,40365120,SOUTH SHORE SWIMMING CLUB,Staten Island,6736,HYLAN BOULEVARD,10309,7182274285,40.5080680847168,-74.22827911376953,503,51,24402,5107843,5077340050,SI11,American
216773,40365166,CORNER BISTRO,Manhattan,331,WEST    4 STREET,10014,2122429502,40.7379264831543,-74.00386047363281,102,03,7700,1011036,1006150060,MN23,American
240390,40365226,NOSTRAND DONUT SHOP,Brooklyn,1449,NOSTRAND AVENUE,11226,7188263008,40.65097427368164,-73.94957733154297,317,40,81800,3327739,3048690001,BK95,Donuts
230558,40365239,DORRIAN'S RED HAND RESTAURANT,Manhattan,1616,2 AVENUE,10028,2127726660,40.776405334472656,-73.95280456542969,108,05,13800,1049947,1015460049,MN32,Irish
224988,40365264,LA GRENOUILLE,Manhattan,3,EAST   52 STREET,10022,2127521495,40.75965881347656,-73.9759750366211,105,04,10200,1035708,1012880006,MN17,French
231415,40365288,KEATS RESTAURANT,Manhattan,842,2 AVENUE,10017,2126825490,40.7515983581543,-73.97089385986328,106,04,9000,1038769,1013370149,MN19,American
168561,40365361,THE PRINCETON CLUB,Manhattan,15,WEST   43 STREET,10036,2125961272,40.75449752807617,-73.98119354248047,105,04,9600,1034207,1012590025,MN17,American
195500,40365387,ARTURO'S,Manhattan,106,WEST HOUSTON STREET,10012,2126773820,40.72723388671875,-74.00051879882812,102,01,6500,1008279,1005250064,MN23,Italian
246910,40365499,YANKEE TAVERN,Bronx,72,EAST  161 STREET,10451,7182926130,40.82755661010742,-73.92514038085938,204,08,6300,2002983,2024830045,BX63,American
243997,40365525,DONUT PUB,Manhattan,203,WEST   14 STREET,10011,2129290126,40.738746643066406,-74.0001449584961,104,03,8100,1013731,1007640036,MN13,Donuts
245406,40365546,REBEN LUNCHEONETTE,Brooklyn,229,HAVEMEYER STREET,11211,7183887696,40.709041595458984,-73.95915222167969,301,34,52500,3063567,3024600001,BK73,American
242917,40365577,V & T RESTAURANT,Manhattan,1024,AMSTERDAM AVENUE,10025,2126668051,40.80332946777344,-73.96361541748047,109,07,19900,1056908,1018820028,MN09,Italian
225871,40365627,JAHN'S RESTAURANT,Queens,8104,37 AVENUE,11372,7186510700,40.74965286254883,-73.88507080078125,403,21,28300,4030010,4012920002,QN28,American
204261,40365632,J&V FAMOUS PIZZA,Brooklyn,6322,18 AVENUE,11204,7182322700,40.619956970214844,-73.98934936523438,311,38,24800,3133115,3055390055,BK28,Pizza
214866,40365644,JOE ALLEN RESTAURANT,Manhattan,326,WEST   46 STREET,10036,2125816464,40.76017761230469,-73.98888397216797,104,03,12100,1025016,1010360044,MN15,American
246154,40365726,BARBETTA RESTAURANT,Manhattan,319321,323 W. 46TH ST.,NULL,2122469171,0,0,NULL,NULL,NULL,NULL,1,NULL,Italian
174786,40365784,GARGIULO'S RESTAURANT,Brooklyn,2911,WEST   15 STREET,11224,7182664891,40.57655715942383,-73.98258209228516,313,47,34800,3339622,3070640045,BK21,Italian
201508,40365789,PATSY'S ITALIAN RESTAURANT,Manhattan,236,WEST   56 STREET,10019,2122473491,40.76561737060547,-73.9823989868164,105,03,13700,1024883,1010270057,MN17,Italian
220452,40365841,PARKSIDE RESTAURANT,Queens,10701,CORONA AVENUE,11368,7182719871,40.74372482299805,-73.85623931884766,404,21,42700,4449610,4019940030,QN25,Italian
247934,40365844,LAVELLE'S ADMIRAL'S CLUB,Queens,4515,BROADWAY,11103,3475071821,40.75700378417969,-73.91480255126953,401,26,15300,4012527,4007110001,QN70,Other
246963,40365871,NEARY'S PUB,Manhattan,358,EAST   57 STREET,10022,2127511434,40.75864028930664,-73.9637451171875,106,05,10800,1039996,1013490131,MN19,American
214202,40365882,NEW YORK PIZZA SUPREMA,Manhattan,413,8 AVENUE,10001,2125948939,40.750030517578125,-73.99504089355469,104,03,10300,1013536,1007540041,MN13,Pizza
240315,40365904,MEE SUM CAFE,Manhattan,26,PELL STREET,10013,2123495260,40.71485900878906,-73.99819946289062,103,01,2900,1001782,1001630009,MN27,Coffee/Tea
238071,40365938,NANCY'S RESTAURANT,Queens,255-41,JAMAICA AVENUE,11001,7183434616,40.727413177490234,-73.7096176147461,413,23,157903,NULL,4,QN44,American
181074,40365942,HOP KEE RESTAURANT,Manhattan,21,MOTT STREET,10013,2129648365,40.71436309814453,-73.99878692626953,103,01,2900,1001821,1001640045,MN27,Chinese
234447,40365968,NANCY WHISKEY PUB,Manhattan,1,LISPENARD STREET,10013,2122269943,40.72053909301758,-74.00501251220703,101,01,3300,1002726,1002110016,MN24,American
159485,40365972,BLARNEY BAR,Queens,14609,JAMAICA AVENUE,11435,7186583406,40.701805114746094,-73.80867767333984,412,24,24000,4206762,4096760042,QN61,American
222749,40366002,MARGHERITA PIZZA,Queens,16304,JAMAICA AVENUE,11432,7186575780,40.70466613769531,-73.79682159423828,412,27,44601,4216196,4101510001,QN61,Pizza
236440,40366054,HEALY'S PUB,Queens,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600,40.58173370361328,-73.83028411865234,414,32,93800,NULL,4,QN10,American
242906,40366109,FIFTH AVENUE BINGO,Brooklyn,416,5 AVENUE,11215,7187881691,40.67003631591797,-73.98558807373047,306,39,13700,3324059,3009980041,BK37,American
184327,40366132,DENINO'S PIZZERIA TAVERN,Staten Island,524,PORT RICHMOND AVENUE,10302,7184429401,40.63002395629883,-74.14016723632812,501,49,21300,5107096,5011310001,SI28,Pizza
235784,40366154,MICHAEL'S RESTAURANT,Brooklyn,2929,AVENUE R,11229,7189987851,40.607418060302734,-73.94300079345703,315,48,56400,3183707,3068130034,BK44,Italian
205739,40366222,KILLARNEY ROSE,Manhattan,80,BEAVER STREET,10005,2124221486,40.70533752441406,-74.0086898803711,101,01,700,1000834,1000280015,MN25,Irish
225860,40366230,DON PEPPE,Queens,13558,LEFFERTS BOULEVARD,11420,7188457587,40.670257568359375,-73.82097625732422,410,32,83800,4256605,4118050047,QN55,Italian
222932,40366356,BLARNEY CASTLE,Queens,20224,ROCKAWAY POINT BOULEVARD,11697,7186344503,40.56077575683594,-73.91178131103516,414,32,91601,4533648,4163500300,QN10,American
84473,40366471,ROLL-N-ROASTER,Brooklyn,2901,EMMONS AVENUE,11235,7187695831,40.583866119384766,-73.93968963623047,315,48,60800,3247482,3087930063,BK17,American
88437,40366473,TIO PEPE,Manhattan,168,WEST    4 STREET,10014,2122429338,40.7320556640625,-74.0014419555664,102,03,6700,1010145,1005900029,MN23,Seafood
203875,40366487,BRENNAN & CARR,Brooklyn,3432,NOSTRAND AVENUE,11229,7187691254,40.60038757324219,-73.94189453125,315,46,57000,3200248,3073620006,BK17,American
215076,40366497,THE PUNCH BOWL,Bronx,5820,BROADWAY,10463,7188847322,40.88520431518555,-73.90057373046875,208,11,28300,2094716,2032710189,BX29,American
243552,40366543,JARDIN DE CHINA REST,Queens,3737,JUNCTION BOULEVARD,11368,7184763755,40.750755310058594,-73.870361328125,403,21,37500,4043854,4017590046,QN26,Chinese
243418,40366574,BLARNEY STONE,Manhattan,11,TRINITY PLACE,10006,2122694988,40.70652389526367,-74.01384735107422,101,01,1300,1000803,1000200004,MN25,Irish
245450,40366586,SHIMONS KOSHER PIZZA,Queens,7124,MAIN STREET,11367,7187931491,40.72718048095703,-73.82209777832031,408,24,77902,4143376,4066200032,QN37,Jewish/Kosher
247673,40366652,FASCATI'S PIZZERIA,Brooklyn,80,HENRY STREET,11201,7182371278,40.69844436645508,-73.99254608154297,302,33,100,3001700,3002260025,BK09,Pizza
206954,40366661,BABY BO'S CANTINA,Manhattan,627,2 AVENUE,10016,2127792656,40.74497985839844,-73.97573852539062,106,02,7800,1020155,1009150029,MN20,Tex-Mex
245309,40366711,LI GRECI'S STAATEN RESTAURANT,Staten Island,697,FOREST AVENUE,10310,7184486000,40.62947463989258,-74.11233520507812,501,49,10500,5004812,5001680064,SI35,American
247844,40366716,SHUN LEE PALACE RESTAURANT,Manhattan,155,EAST   55 STREET,10022,2123718844,40.759376525878906,-73.969482421875,106,04,10000,1036515,1013100027,MN19,Chinese
219980,40366742,TAMAQUA,Brooklyn,84,EBONY COURT,11229,7186469212,40.59435272216797,-73.9301528930664,315,46,62800,3250140,3089460024,BK17,Bottled Beverages
242520,40366812,CARA MIA,Queens,22020,HILLSIDE AVENUE,11427,7187409118,40.73070526123047,-73.7432632446289,413,23,130100,4166343,4079450002,QN43,Italian
239190,40366879,LA FUSTA RESTAURANT,Queens,8032,BAXTER AVENUE,11373,7184298222,40.74470520019531,-73.88456726074219,404,25,26902,4000000,4015080001,QN29,Latin American
84499,40366928,RICHMOND COUNTY COUNTRY CLUB,Staten Island,135,FLAGG PLACE,10304,7183510600,40.58793640136719,-74.10407257080078,502,50,18100,5106953,5008880018,SI24,American
233093,40366938,LULU'S COFFEE SHOP,Bronx,1191,CASTLE HILL AVENUE,10462,7188223568,40.83170700073242,-73.85099792480469,209,18,9200,2026488,2038110036,BX59,Coffee/Tea
237728,40366961,MITCHELL'S RESTAURANT,Brooklyn,617A,VANDERBILT AVENUE,11238,7187893212,40.67885208129883,-73.96841430664062,308,35,20500,3028191,3011450004,BK64,Soul Food
241056,40367005,DA VINCI PIZZA,Brooklyn,6514,18 AVENUE,11204,7182325855,40.618980407714844,-73.99034118652344,311,38,25200,3133856,3055530046,BK28,Pizza
247680,40367038,MEXICO LINDO RESTAURANT,Manhattan,459,2 AVENUE,10010,2126793665,40.73964309692383,-73.9796142578125,106,02,6600,1019834,1009060033,MN20,Mexican
235731,40367161,MARINA DEL REY,Bronx,2894,SCHURZ AVENUE,10465,7189316500,40.814537048339844,-73.81505584716797,210,13,11800,2097758,2056030014,BX52,American
189480,40367179,TWINS PUB,Manhattan,421,9 AVENUE,10001,2126431688,40.753055572509766,-73.9965591430664,104,03,10300,1012848,1007310044,MN13,Irish
246878,40367189,BROOME STREET BAR,Manhattan,363,WEST BROADWAY,10013,2129252086,40.72311782836914,-74.00312805175781,102,01,4700,1007063,1004750012,MN24,American
229755,40367232,O'HANLON'S PUB,Queens,2257,31 STREET,11105,7187289619,40.77494812011719,-73.91211700439453,401,22,11500,4017050,4008330013,QN72,Irish
229890,40367240,CHARLIES SPORTS BAR,Queens,4408,60TH ST. - STORE,NULL,7184781903,0,0,NULL,NULL,NULL,NULL,4,NULL,Bottled Beverages
209224,40367241,JG MELON RESTAURANT,Manhattan,1291,3 AVENUE,10021,2127440585,40.77119064331055,-73.95953369140625,108,04,13400,1044019,1014290001,MN31,American
231175,40367338,"TAP ROOM, GRAB & GO",Manhattan,180,CENTRAL PARK SOUTH,10019,2127677085,40.766719818115234,-73.9787368774414,105,04,13700,1023750,1010110001,MN17,American
35875,40367339,COCKTAIL ROOM (NYAC),Manhattan,180,CENTRAL PARK SOUTH,10019,2127677000,40.766719818115234,-73.9787368774414,105,04,13700,1023750,1010110001,MN17,American
238794,40367365,THE FLAME DINER,Manhattan,893,9 AVENUE,10019,2127657962,40.7684326171875,-73.98534393310547,104,03,13900,1026889,1010670033,MN15,American
140248,40367373,JACKSON HOLE,Manhattan,232,EAST   64 STREET,10065,2123717187,40.76430892944336,-73.96345520019531,108,04,11000,1043865,1014180031,MN31,Hamburgers
223333,40367377,ZUM STAMMTISCH,Queens,6946,MYRTLE AVENUE,11385,7183863014,40.70186996459961,-73.88159942626953,405,30,62900,4090365,4037050001,QN19,German
200278,40367442,BUDDY'S WONDER BAR,Staten Island,17,HARRISON AVENUE,10302,7184429768,40.636756896972656,-74.13493347167969,501,49,20700,5025355,5010770004,SI28,American
240980,40367534,MR BROADWAY KOSHER RESTAURANT,Manhattan,1372,BROADWAY,10018,2129212152,40.752262115478516,-73.98745727539062,105,04,10900,1080609,1008130023,MN17,Jewish/Kosher
196080,40367728,MIMIS RESTAURANT & BAR,Manhattan,984,SECOND AVENUE,10022,2126884692,40.75621795654297,-73.967529296875,106,04,9800,1039779,1013450001,MN19,Italian
242274,40367749,LENNY'S CLAM BAR,Queens,161-03,CROSSBAY BOULEVARD,11414,7188455100,40.65555191040039,-73.8389663696289,410,32,89200,4442305,4141890084,QN57,Seafood
221493,40367752,GRIFFIS FACULTY CLUB,Manhattan,521,EAST   68 STREET,10065,6469623939,40.764156341552734,-73.95528411865234,108,05,11600,1084781,1014800001,MN31,American
247123,40367789,DANI PIZZA AND RESTAURANT,Queens,8128,LEFFERTS BOULEVARD,11415,7188462849,40.708866119384766,-73.83043670654297,409,29,77500,4079724,4033370092,QN60,Pizza
215181,40367790,MCDONALD'S,Brooklyn,943,FLATBUSH AVENUE,11226,7186935353,40.64872360229492,-73.95829772949219,314,40,79400,3117218,3051030001,BK95,Hamburgers
209237,40367841,CAFE FIORELLO,Manhattan,1900,BROADWAY,10023,2125955330,40.77151107788086,-73.98214721679688,107,06,14900,1027472,1011167501,MN14,Italian
225062,40367860,L&B SPUMONI GARDENS,Brooklyn,2725,86 STREET,11223,7184491230,40.59439468383789,-73.98136138916016,315,47,40200,3336553,3071160026,BK29,Pizza
229190,40367870,AMORE PIZZERIA & RESTAURANT,Queens,30-27,STRATTON STREET,11354,7184450579,40.769657135009766,-73.8346939086914,407,20,86900,4100747,4043690001,QN22,Pizza
242095,40368018,THE PATIO,Bronx,2300,SOUTHERN BOULEVARD,10460,7182205069,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,American
234603,40368021,ZOO BREWS-BRONX ZOO,Bronx,2300,SOUTHERN BOULEVARD,10460,7182207937,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,American
243524,40368022,GRIZZLY GROUNDS,Bronx,2300,SOUTHERN BOULEVARD,10460,3474468151,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,Coffee/Tea
138319,40368025,THE PECKING ORDER,Bronx,2300,SOUTHERN BOULEVARD,10460,7187418295,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,American
217931,40368026,SOMBA VILLAGE (BABOON CAFE),Bronx,2300,SOUTHERN BOULEVARD,10460,7187418295,40.850555419921875,-73.88245391845703,206,15,33400,2116700,2031200020,BX99,African
219468,40368034,ROADHOUSE RESTAURANT,Staten Island,1402,CLOVE ROAD,10301,7184470033,40.613365173339844,-74.10045623779297,501,49,16901,5016581,5006580001,SI07,Italian
219809,40368157,ELEPHANT & CASTLE,Manhattan,68,GREENWICH AVENUE,10011,2122431400,40.73631286621094,-74.00093841552734,102,03,7100,1080191,1006060029,MN23,American
241328,40368207,MILL BASIN KOSHER DELI,Brooklyn,5823,AVENUE T,11234,7182414910,40.61531448364258,-73.91841125488281,318,46,68800,3236236,3083800002,BK58,Jewish/Kosher
236244,40368223,OYSTER BAR,Manhattan,0,GRAND CENTRAL TERMINAL,10017,2124906650,40.75251388549805,-73.97730255126953,105,04,9200,1035381,1012800001,MN19,Seafood
247618,40368271,CHERRY TAVERN,Manhattan,441,EAST    6 STREET,10009,2127771448,40.72599411010742,-73.98519897460938,103,02,3200,1005797,1004340037,MN22,Bottled Beverages
236737,40368291,COLONNADE DINER,Staten Island,2001,HYLAN BOULEVARD,10306,7183512900,40.5811653137207,-74.09854125976562,502,50,11402,5051140,5035600001,SI45,American
218405,40368313,RED FLAME DINER,Manhattan,67,WEST   44 STREET,10036,2128693965,40.7556266784668,-73.98194122314453,105,04,9600,1034217,1012600001,MN17,American
222924,40368318,MAGGIES PLACE,Manhattan,21,EAST   47 STREET,10017,2127535757,40.756160736083984,-73.97738647460938,105,04,9400,1035419,1012830015,MN17,American
245121,40368338,BRADY'S BAR,Manhattan,1583,2 AVENUE,10028,2128616070,40.77543258666992,-73.95352935791016,108,05,13800,1048656,1015280021,MN32,American
231195,40368374,JIMMY'S CORNER,Manhattan,140,WEST   44 STREET,10036,2122219510,40.756614685058594,-73.98432922363281,105,04,11900,1022619,1009960050,MN17,American
226689,40368526,FROST RESTAURANT,Brooklyn,193,FROST STREET,11211,7183893347,40.718204498291016,-73.94353485107422,301,34,49700,3332290,3027350030,BK90,Italian
226438,40368555,IL CORTILE RESTAURANT,Manhattan,123,MULBERRY STREET,10013,2122266060,40.717891693115234,-73.99810791015625,102,01,4100,1002653,1002060017,MN24,Italian
235397,40368577,DENNY'S PUB,Brooklyn,106,BEVERLY ROAD,11218,7184352156,40.6429328918457,-73.97886657714844,312,39,48600,3125226,3053530001,BK41,American
219382,40368581,MARIES CRISIS CAFE,Manhattan,59,GROVE STREET,10014,2122439323,40.73313522338867,-74.00328826904297,102,03,7300,1010203,1005910060,MN23,Bottled Beverages
247764,40368632,NEW PARKWAY RESTAURANT,Brooklyn,7504,13 AVENUE,11228,7187454371,40.62019729614258,-74.0075454711914,310,43,20000,3159954,3062210039,BK30,American
201218,40368725,CAFE RIAZOR,Manhattan,245,WEST   16 STREET,10011,2127272132,40.740440368652344,-74.0000228881836,104,03,8100,1013798,1007660016,MN13,Spanish
238461,40368752,RAOULS,Manhattan,180,PRINCE STREET,10012,2129663518,40.726318359375,-74.00203704833984,102,03,4900,1007784,1005030019,MN24,French
218476,40368763,THE BROOK,Manhattan,111,EAST   54 STREET,10022,2127537020,40.75942611694336,-73.97154235839844,105,04,10000,1036477,1013090005,MN19,American
244537,40368801,MARBELLA RESTAURANT,Queens,22033,NORTHERN BOULEVARD,11361,7184230100,40.761600494384766,-73.76075744628906,411,19,147100,4138722,4063240020,QN46,Latin American
189880,40368809,P.J.' S,Queens,18925,UNION TURNPIKE,11366,3472683989,40.72953796386719,-73.77996826171875,408,23,133300,4155094,4072060034,QN41,American
230304,40368824,DOUBLES CLUB,Manhattan,783,5 AVENUE,10022,2127519595,40.76453399658203,-73.97280883789062,108,04,11401,1040751,1013740001,MN40,American
221162,40368897,HATSUHANA RESTAURANT,Manhattan,17,EAST   48 STREET,10017,2123553345,40.756893157958984,-73.9771728515625,105,04,9400,1035435,1012840012,MN17,Japanese
218497,40369012,VALENTINO'S PIZZA,Queens,7147,KISSENA BOULEVARD,11367,7185916464,40.7285270690918,-73.81507873535156,408,24,122702,4146994,4067930035,QN38,Pizza
242140,40369016,VIAND COFFEE SHOP,Manhattan,673,MADISON AVENUE,10065,2127516622,40.76478958129883,-73.97013092041016,108,04,11401,1040850,1013760021,MN40,Greek
219793,40369051,STEVE'S COFFEE SHOP,Queens,403416,2ND ST,NULL,7184456691,0,0,NULL,NULL,NULL,NULL,4,NULL,Coffee/Tea
246442,40369087,BLUE BAY RESTAURANT,Bronx,3533,JOHNSON AVENUE,10463,7188846476,40.88602828979492,-73.90987396240234,208,11,29700,2084160,2057940501,BX29,American
186691,40369158,JODY'S CLUB,Staten Island,372,FOREST AVENUE,10301,7187276338,40.63100814819336,-74.10189819335938,501,49,5900,5169029,5002520009,SI35,American
240047,40369165,REIF'S TAVERN,Manhattan,302,EAST   92 STREET,10128,2124260519,40.78150939941406,-73.94857788085938,108,05,15400,1050238,1015540148,MN32,American
234834,40369213,WHITESTONE LANES,Queens,3005,WHITESTONE EXPRESSWAY,11354,7183536300,40.77070999145508,-73.8337173461914,407,20,86900,4100748,4043700015,QN22,American
